Ranking,Team Name,Hyperlink,Wins,Losses,Ties,Winning Percentage,Season
8,Houston (AAC),https://stats.ncaa.org/team/288.0/11620,48,48-18,18,0,2013-14
8,TCU (Big 12),https://stats.ncaa.org/team/698.0/11620,48,48-18,18,0,2013-14
8,Oklahoma St. (Big 12),https://stats.ncaa.org/team/521.0/11620,48,48-18,18,0,2013-14
11,Bryant (NEC),https://stats.ncaa.org/team/81.0/11620,42,42-16,16,0,2013-14
12,Seton Hall (Big East),https://stats.ncaa.org/team/635.0/11620,38,38-15,15,0,2013-14
13,Florida St. (ACC),https://stats.ncaa.org/team/234.0/11620,43,43-17,17,0,2013-14
14,Canisius (MAAC),https://stats.ncaa.org/team/116.0/11620,40,40-16,16,0,2013-14
15,South Carolina (SEC),https://stats.ncaa.org/team/648.0/11620,44,44-18,18,0,2013-14
16,Vanderbilt (SEC),https://stats.ncaa.org/team/736.0/11620,51,51-21,21,0,2013-14
17,Pepperdine (WCC),https://stats.ncaa.org/team/541.0/11620,43,43-18,18,0,2013-14
18,Washington (Pac-12),https://stats.ncaa.org/team/756.0/11620,41,41-17-1,17,1,2013-14
19,Miami (FL) (ACC),https://stats.ncaa.org/team/415.0/11620,44,44-19,19,0,2013-14
19,Col. of Charleston (CAA),https://stats.ncaa.org/team/1014.0/11620,44,44-19,19,0,2013-14
21,Ole Miss (SEC),https://stats.ncaa.org/team/433.0/11620,48,48-21,21,0,2013-14
22,Liberty (Big South),https://stats.ncaa.org/team/355.0/11620,41,41-18,18,0,2013-14
23,Sam Houston (Southland),https://stats.ncaa.org/team/624.0/11620,43,43-19,19,0,2013-14
24,Mercer (ASUN),https://stats.ncaa.org/team/406.0/11620,38,38-17,17,0,2013-14
25,Oregon (Pac-12),https://stats.ncaa.org/team/529.0/11620,44,44-20,20,0,2013-14
26,Texas (Big 12),https://stats.ncaa.org/team/703.0/11620,46,46-21,21,0,2013-14
27,Saint Joseph's (Atlantic 10),https://stats.ncaa.org/team/606.0/11620,35,35-16,16,0,2013-14
28,Ball St. (MAC),https://stats.ncaa.org/team/47.0/11620,39,39-18,18,0,2013-14
29,Texas Tech (Big 12),https://stats.ncaa.org/team/700.0/11620,45,45-21,21,0,2013-14
30,Tennessee Tech (OVC),https://stats.ncaa.org/team/692.0/11620,40,40-19,19,0,2013-14
31,Rice (CUSA),https://stats.ncaa.org/team/574.0/11620,42,42-20,20,0,2013-14
32,Western Caro. (SoCon),https://stats.ncaa.org/team/769.0/11620,37,37-18,18,0,2013-14
33,San Diego St. (Mountain West),https://stats.ncaa.org/team/626.0/11620,42,42-21,21,0,2013-14
34,UC Santa Barbara (Big West),https://stats.ncaa.org/team/104.0/11620,34,34-17-1,17,1,2013-14
35,Campbell (Big South),https://stats.ncaa.org/team/115.0/11620,41,41-21,21,0,2013-14
35,Nebraska (Big Ten),https://stats.ncaa.org/team/463.0/11620,41,41-21,21,0,2013-14
37,Stony Brook (America East),https://stats.ncaa.org/team/683.0/11620,35,35-18,18,0,2013-14
37,Indiana St. (MVC),https://stats.ncaa.org/team/305.0/11620,35,35-18,18,0,2013-14
39,DBU (MVC),https://stats.ncaa.org/team/1045.0/11620,40,40-21,21,0,2013-14
40,Creighton (Big East),https://stats.ncaa.org/team/169.0/11620,32,32-17-1,17,1,2013-14
41,Alabama St. (SWAC),https://stats.ncaa.org/team/7.0/11620,37,37-20,20,0,2013-14
41,VCU (Atlantic 10),https://stats.ncaa.org/team/740.0/11620,37,37-20,20,0,2013-14
41,Southeast Mo. St. (OVC),https://stats.ncaa.org/team/654.0/11620,37,37-20,20,0,2013-14
